lead_id,chuck_id,mensaje_chuck,intencion,pre_precio,lead_clase
L00353,CHUCK_03,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,caliente
L00844,CHUCK_02,"si quieres, te envio una tabla comparativa clara.",comparacion,1,tibio
L00163,CHUCK_08,te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio
L00225,CHUCK_01,"tengo disponibilidad para demo, te paso horarios.",agendar_demo,1,tibio
L01175,CHUCK_06,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,caliente
L02574,CHUCK_08,te explico las caracteristicas principales del producto.,consulta_producto,0,frio
L01945,CHUCK_07,"hola, un gusto saludarte. en que te asesoro?",saludo,1,frio
L00434,CHUCK_10,"es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio
L00977,CHUCK_06,"gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio
L00262,CHUCK_06,este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio
L02623,CHUCK_08,fue un gusto ayudarte. estoy disponible cuando lo necesites.,despedida,0,frio
L00380,CHUCK_02,te explico las caracteristicas principales del producto.,consulta_producto,0,frio
L02886,CHUCK_10,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente
L01010,CHUCK_07,puedo guiarte para solucionar el problema ahora mismo.,soporte,0,frio
L01821,CHUCK_02,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L02447,CHUCK_04,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio
L02372,CHUCK_06,"en relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,0,caliente
L01839,CHUCK_05,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L02887,CHUCK_09,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L01085,CHUCK_05,te ayudo con soporte tecnico paso a paso.,soporte,0,frio
L02676,CHUCK_06,"hola, gracias por contactarnos. como puedo ayudarte hoy?",saludo,1,frio
L00935,CHUCK_01,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,caliente
L00209,CHUCK_08,"tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio
L00608,CHUCK_06,este producto incluye soporte y configuracion inicial.,consulta_producto,1,tibio
L02572,CHUCK_05,puedo guiarte para solucionar el problema ahora mismo.,soporte,0,frio
L01385,CHUCK_03,"perfecto, te comparto el link de pago para cerrar la compra.",compra,0,caliente
L00483,CHUCK_02,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,1,frio
L02358,CHUCK_05,quedo atento para continuar cuando te venga bien.,seguimiento,1,tibio
L00086,CHUCK_08,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente
L00040,CHUCK_06,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente
L02803,CHUCK_09,"tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,caliente
L01857,CHUCK_07,"entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,0,tibio
L01404,CHUCK_05,te explico las caracteristicas principales del producto.,consulta_producto,0,frio
L00428,CHUCK_07,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente
L01637,CHUCK_03,quedo atento para continuar cuando te venga bien.,seguimiento,0,frio
L00510,CHUCK_03,retomo la conversacion para ayudarte con la decision.,seguimiento,0,frio
L01454,CHUCK_01,"perfecto, hablamos pronto. que tengas excelente dia.",despedida,0,frio
L00001,CHUCK_04,"excelente decision, te ayudo a completar tu compra ahora.",compra,0,tibio
L02422,CHUCK_02,te comparo este plan frente a otras alternativas del mercado.,comparacion,1,caliente
L02060,CHUCK_07,podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,caliente
L00871,CHUCK_01,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L00363,CHUCK_04,"gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio
L01916,CHUCK_09,te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio
L02643,CHUCK_06,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,frio
L01853,CHUCK_08,este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio
L02980,CHUCK_02,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L02319,CHUCK_02,te comparo este plan frente a otras alternativas del mercado.,comparacion,1,tibio
L01948,CHUCK_03,te ayudo con soporte tecnico paso a paso.,soporte,0,frio
L01595,CHUCK_06,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L00068,CHUCK_10,te explico las caracteristicas principales del producto.,consulta_producto,0,frio
L00730,CHUCK_03,"si quieres, te envio una tabla comparativa clara.",comparacion,0,caliente
L01530,CHUCK_02,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio
L02896,CHUCK_04,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L01803,CHUCK_07,"en relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,tibio
L00678,CHUCK_08,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L02894,CHUCK_02,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,caliente
L01852,CHUCK_03,"en relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,tibio
L02625,CHUCK_10,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente
L01953,CHUCK_03,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L00605,CHUCK_05,vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio
L02910,CHUCK_09,"si quieres, te envio una tabla comparativa clara.",comparacion,1,tibio
L01603,CHUCK_08,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L01284,CHUCK_10,"excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente
L01787,CHUCK_02,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente
L00488,CHUCK_09,"tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,caliente
L01410,CHUCK_03,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L02013,CHUCK_05,podemos resolver esa objecion con una opcion mas flexible.,objecion,1,tibio
L01127,CHUCK_03,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L02716,CHUCK_01,te explico las caracteristicas principales del producto.,consulta_producto,0,frio
L02203,CHUCK_02,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,tibio
L02544,CHUCK_10,fue un gusto ayudarte. estoy disponible cuando lo necesites.,despedida,0,frio
L01111,CHUCK_01,"si quieres, te envio una tabla comparativa clara.",comparacion,0,tibio
L02257,CHUCK_10,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente
L00803,CHUCK_03,este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio
L02526,CHUCK_06,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente
L00921,CHUCK_06,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio
L00857,CHUCK_05,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio
L01112,CHUCK_06,"tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio
L01101,CHUCK_07,te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio
L01138,CHUCK_10,te explico las caracteristicas principales del producto.,consulta_producto,0,frio
L00682,CHUCK_07,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente
L02897,CHUCK_01,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L01444,CHUCK_07,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L00929,CHUCK_01,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L01434,CHUCK_06,"excelente decision, te ayudo a completar tu compra ahora.",compra,1,caliente
L02471,CHUCK_01,podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,tibio
L01184,CHUCK_08,retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio
L02582,CHUCK_04,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,tibio
L02779,CHUCK_06,"hola, gracias por contactarnos. como puedo ayudarte hoy?",saludo,1,frio
L00235,CHUCK_08,"perfecto, te comparto el link de pago para cerrar la compra.",compra,0,caliente
L02628,CHUCK_08,"entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,1,tibio
L01443,CHUCK_10,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L00695,CHUCK_05,quedo atento para continuar cuando te venga bien.,seguimiento,0,tibio
L00108,CHUCK_03,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio
L00420,CHUCK_05,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio
L02399,CHUCK_10,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio
L00392,CHUCK_06,"entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,1,tibio
L01015,CHUCK_01,te ayudo con soporte tecnico paso a paso.,soporte,0,frio
L00467,CHUCK_08,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio
L02232,CHUCK_05,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L00788,CHUCK_01,"hola, gracias por contactarnos. como puedo ayudarte hoy?",saludo,0,frio
L01761,CHUCK_08,"excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente
L01440,CHUCK_08,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L02162,CHUCK_09,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L00577,CHUCK_07,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L02274,CHUCK_05,"en relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,tibio
L00092,CHUCK_09,te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio
L02661,CHUCK_05,"perfecto, te comparto el link de pago para cerrar la compra.",compra,0,caliente
L00742,CHUCK_02,te comparo este plan frente a otras alternativas del mercado.,comparacion,1,tibio
L02331,CHUCK_04,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L00288,CHUCK_06,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,caliente
L02239,CHUCK_02,te explico las caracteristicas principales del producto.,consulta_producto,0,frio
L02408,CHUCK_01,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente
L02709,CHUCK_10,"excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente
L01221,CHUCK_08,podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,caliente
L01578,CHUCK_08,"hola, gracias por contactarnos. como puedo ayudarte hoy?",saludo,0,frio
L02546,CHUCK_05,te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio
L01753,CHUCK_05,"entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,0,frio
L02137,CHUCK_07,podemos resolver esa objecion con una opcion mas flexible.,objecion,1,tibio
L02568,CHUCK_06,podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,tibio
L00505,CHUCK_03,podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,tibio
L01652,CHUCK_02,"tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio
L01230,CHUCK_06,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L02870,CHUCK_05,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L01360,CHUCK_03,este producto incluye soporte y configuracion inicial.,consulta_producto,0,frio
L02564,CHUCK_02,quedo atento para continuar cuando te venga bien.,seguimiento,0,frio
L02722,CHUCK_05,te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio
L02266,CHUCK_02,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,1,frio
L00570,CHUCK_10,quedo atento para continuar cuando te venga bien.,seguimiento,0,tibio
L00034,CHUCK_07,fue un gusto ayudarte. estoy disponible cuando lo necesites.,despedida,0,frio
L02845,CHUCK_01,te comparo este plan frente a otras alternativas del mercado.,comparacion,1,tibio
L01788,CHUCK_07,"si quieres, te envio una tabla comparativa clara.",comparacion,1,caliente
L01227,CHUCK_05,"si quieres, te envio una tabla comparativa clara.",comparacion,0,tibio
L00524,CHUCK_01,"tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio
L00528,CHUCK_06,quedo atento para continuar cuando te venga bien.,seguimiento,0,tibio
L01193,CHUCK_10,quedo atento para continuar cuando te venga bien.,seguimiento,0,tibio
L01846,CHUCK_02,te escribo para dar seguimiento a tu interes.,seguimiento,0,frio
L02991,CHUCK_04,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L02369,CHUCK_06,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente
L01336,CHUCK_05,"perfecto, hablamos pronto. que tengas excelente dia.",despedida,0,frio
L00769,CHUCK_07,te comparto los beneficios para tu caso de uso.,consulta_producto,1,tibio
L02663,CHUCK_04,"si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio
L00028,CHUCK_05,podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio
L02315,CHUCK_05,podemos resolver esa objecion con una opcion mas flexible.,objecion,1,tibio
L02412,CHUCK_06,"si te parece, coordinamos una demostracion personalizada.",agendar_demo,1,caliente
L02109,CHUCK_09,te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio
L01583,CHUCK_02,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L02693,CHUCK_03,este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio
L01723,CHUCK_04,"perfecto, te comparto el link de pago para cerrar la compra.",compra,0,caliente
L00791,CHUCK_07,"entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,0,tibio
L01080,CHUCK_09,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L01174,CHUCK_05,quedo atento para continuar cuando te venga bien.,seguimiento,0,tibio
L01448,CHUCK_04,te explico las caracteristicas principales del producto.,consulta_producto,0,frio
L02485,CHUCK_03,vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio
L01060,CHUCK_10,"excelente decision, te ayudo a completar tu compra ahora.",compra,1,caliente
L02523,CHUCK_05,te explico las caracteristicas principales del producto.,consulta_producto,0,tibio
L01017,CHUCK_09,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente
L02381,CHUCK_09,"si quieres, te envio una tabla comparativa clara.",comparacion,1,caliente
L00036,CHUCK_04,te escribo para dar seguimiento a tu interes.,seguimiento,0,frio
L00594,CHUCK_04,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio
L00809,CHUCK_04,"gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio
L01783,CHUCK_08,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L00153,CHUCK_02,"el costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio
L01685,CHUCK_02,te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio
L02967,CHUCK_09,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente
L01811,CHUCK_09,"perfecto, hablamos pronto. que tengas excelente dia.",despedida,0,frio
L01567,CHUCK_10,te ayudo con soporte tecnico paso a paso.,soporte,0,frio
L02510,CHUCK_02,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente
L01429,CHUCK_02,"si quieres, te envio una tabla comparativa clara.",comparacion,0,caliente
L00848,CHUCK_10,"claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio
L00268,CHUCK_02,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L00612,CHUCK_06,"perfecto, te comparto el link de pago para cerrar la compra.",compra,0,tibio
L02819,CHUCK_10,"tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente
L00052,CHUCK_05,"excelente decision, te ayudo a completar tu compra ahora.",compra,1,caliente
L02458,CHUCK_08,"en relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,tibio
L02504,CHUCK_10,te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio
L00926,CHUCK_02,"excelente decision, te ayudo a completar tu compra ahora.",compra,1,caliente
L01838,CHUCK_10,"perfecto, te comparto el link de pago para cerrar la compra.",compra,0,tibio
L00397,CHUCK_01,te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio
L01040,CHUCK_07,"perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente
L02586,CHUCK_07,te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio
L02735,CHUCK_07,"bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio
