lead_id,chuck_id,mensaje_chuck,intencion,pre_precio,lead_clase,lead_clase_id
L00064,CHUCK_07,"Claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio,1
L00065,CHUCK_10,"Gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,1,frio,0
L00066,CHUCK_03,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente,2
L00067,CHUCK_04,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,frio,0
L00068,CHUCK_10,Te explico las caracteristicas principales del producto.,consulta_producto,0,frio,0
L00069,CHUCK_05,"Claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente,2
L00070,CHUCK_10,Podemos resolver esa objecion con una opcion mas flexible.,objecion,0,frio,0
L00071,CHUCK_04,"Si quieres, te envio una tabla comparativa clara.",comparacion,0,tibio,1
L00072,CHUCK_02,"Claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio,1
L00073,CHUCK_06,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio,1
L00074,CHUCK_02,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente,2
L00075,CHUCK_05,Retomo la conversacion para ayudarte con la decision.,seguimiento,1,tibio,1
L00076,CHUCK_04,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,tibio,1
L00077,CHUCK_06,Te escribo para dar seguimiento a tu interes.,seguimiento,0,frio,0
L00078,CHUCK_01,"En relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,caliente,2
L00079,CHUCK_07,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00080,CHUCK_05,Te ayudo con soporte tecnico paso a paso.,soporte,0,frio,0
L00081,CHUCK_03,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,0,caliente,2
L00082,CHUCK_01,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00083,CHUCK_08,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00084,CHUCK_01,Te explico las caracteristicas principales del producto.,consulta_producto,0,tibio,1
L00085,CHUCK_03,Te explico las caracteristicas principales del producto.,consulta_producto,0,tibio,1
L00086,CHUCK_08,"Claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente,2
L00087,CHUCK_01,Vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio,0
L00088,CHUCK_10,Podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio,1
L00089,CHUCK_03,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente,2
L00090,CHUCK_03,"Entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,1,frio,0
L00091,CHUCK_07,Puedo guiarte para solucionar el problema ahora mismo.,soporte,0,frio,0
L00092,CHUCK_09,Te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio,1
L00093,CHUCK_02,Retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio,1
L00094,CHUCK_10,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio,1
L00095,CHUCK_08,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio,1
L00096,CHUCK_08,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio,0
L00097,CHUCK_04,"Entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,1,tibio,1
L00098,CHUCK_09,Podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,caliente,2
L00099,CHUCK_05,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio,1
L00100,CHUCK_01,"Excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente,2
L00101,CHUCK_07,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,caliente,2
L00102,CHUCK_05,"En relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,tibio,1
L00103,CHUCK_02,"Excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente,2
L00104,CHUCK_08,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,frio,0
L00105,CHUCK_03,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente,2
L00106,CHUCK_04,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio,1
L00107,CHUCK_09,"Gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio,0
L00108,CHUCK_03,"Bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio,0
L00109,CHUCK_04,Podemos agendar una demo de 20 minutos esta semana.,agendar_demo,1,caliente,2
L00110,CHUCK_06,Te ayudo con soporte tecnico paso a paso.,soporte,0,frio,0
L00111,CHUCK_05,"Es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio,1
L00112,CHUCK_08,"Bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio,0
L00113,CHUCK_05,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente,2
L00114,CHUCK_08,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00115,CHUCK_05,"Si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,tibio,1
L00116,CHUCK_08,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio,0
L00117,CHUCK_05,"Si quieres, te envio una tabla comparativa clara.",comparacion,1,tibio,1
L00118,CHUCK_10,Quedo atento para continuar cuando te venga bien.,seguimiento,0,frio,0
L00119,CHUCK_03,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente,2
L00120,CHUCK_05,Te ayudo con soporte tecnico paso a paso.,soporte,0,frio,0
L00121,CHUCK_06,Retomo la conversacion para ayudarte con la decision.,seguimiento,0,frio,0
L00122,CHUCK_03,Retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio,1
L00123,CHUCK_10,Te escribo para dar seguimiento a tu interes.,seguimiento,0,frio,0
L00124,CHUCK_01,Quedo atento para continuar cuando te venga bien.,seguimiento,1,tibio,1
L00125,CHUCK_07,Te ayudo con soporte tecnico paso a paso.,soporte,1,frio,0
L00126,CHUCK_03,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio,1
L00127,CHUCK_03,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00128,CHUCK_05,Te comparo este plan frente a otras alternativas del mercado.,comparacion,1,tibio,1
L00129,CHUCK_05,"Gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio,0
L00130,CHUCK_01,Podemos resolver esa objecion con una opcion mas flexible.,objecion,0,frio,0
L00131,CHUCK_03,Quedo atento para continuar cuando te venga bien.,seguimiento,0,tibio,1
L00132,CHUCK_04,Podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio,1
L00133,CHUCK_10,"Es normal tener esa inquietud, revisemos alternativas.",objecion,0,frio,0
L00134,CHUCK_04,Te escribo para dar seguimiento a tu interes.,seguimiento,1,frio,0
L00135,CHUCK_03,"Tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio,1
L00136,CHUCK_05,"Gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio,0
L00137,CHUCK_01,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio,1
L00138,CHUCK_07,"Si quieres, te envio una tabla comparativa clara.",comparacion,1,caliente,2
L00139,CHUCK_05,"Si quieres, te envio una tabla comparativa clara.",comparacion,0,caliente,2
L00140,CHUCK_03,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente,2
L00141,CHUCK_01,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00142,CHUCK_06,Retomo la conversacion para ayudarte con la decision.,seguimiento,1,frio,0
L00143,CHUCK_09,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente,2
L00144,CHUCK_08,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,caliente,2
L00145,CHUCK_09,"Hola, un gusto saludarte. En que te asesoro?",saludo,0,frio,0
L00146,CHUCK_05,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,frio,0
L00147,CHUCK_01,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente,2
L00148,CHUCK_03,Podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,tibio,1
L00149,CHUCK_03,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,0,caliente,2
L00150,CHUCK_10,"Bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio,0
L00151,CHUCK_10,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente,2
L00152,CHUCK_08,"Excelente decision, te ayudo a completar tu compra ahora.",compra,1,caliente,2
L00153,CHUCK_02,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00154,CHUCK_01,"Excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente,2
L00155,CHUCK_05,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio,0
L00156,CHUCK_03,"Excelente decision, te ayudo a completar tu compra ahora.",compra,1,caliente,2
L00157,CHUCK_03,Te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio,1
L00158,CHUCK_08,"Tengo disponibilidad para demo, te paso horarios.",agendar_demo,1,tibio,1
L00159,CHUCK_07,Vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio,0
L00160,CHUCK_01,"Tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio,1
L00161,CHUCK_05,"Claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente,2
L00162,CHUCK_09,"En relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,tibio,1
L00163,CHUCK_08,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio,1
L00164,CHUCK_07,Puedo guiarte para solucionar el problema ahora mismo.,soporte,0,frio,0
L00165,CHUCK_09,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,0,caliente,2
L00166,CHUCK_01,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente,2
L00167,CHUCK_07,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00168,CHUCK_05,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,frio,0
L00169,CHUCK_03,Fue un gusto ayudarte. Estoy disponible cuando lo necesites.,despedida,0,frio,0
L00170,CHUCK_09,Te explico las caracteristicas principales del producto.,consulta_producto,0,tibio,1
L00171,CHUCK_08,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio,1
L00172,CHUCK_05,"Si quieres, te envio una tabla comparativa clara.",comparacion,0,caliente,2
L00173,CHUCK_02,Podemos resolver esa objecion con una opcion mas flexible.,objecion,0,frio,0
L00174,CHUCK_09,Te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio,1
L00175,CHUCK_10,"Excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente,2
L00176,CHUCK_09,"En relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,tibio,1
L00177,CHUCK_08,Fue un gusto ayudarte. Estoy disponible cuando lo necesites.,despedida,0,frio,0
L00178,CHUCK_07,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,caliente,2
L00179,CHUCK_06,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio,1
L00180,CHUCK_08,"En relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,tibio,1
L00181,CHUCK_09,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente,2
L00182,CHUCK_06,Te explico las caracteristicas principales del producto.,consulta_producto,0,tibio,1
L00183,CHUCK_05,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio,1
L00184,CHUCK_08,"Entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,0,frio,0
L00185,CHUCK_04,"Bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio,0
L00186,CHUCK_08,Te comparo este plan frente a otras alternativas del mercado.,comparacion,0,tibio,1
L00187,CHUCK_03,Podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio,1
L00188,CHUCK_06,Te comparo este plan frente a otras alternativas del mercado.,comparacion,1,tibio,1
L00189,CHUCK_05,Te escribo para dar seguimiento a tu interes.,seguimiento,0,frio,0
L00190,CHUCK_04,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00191,CHUCK_02,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio,1
L00192,CHUCK_05,"Si quieres, te envio una tabla comparativa clara.",comparacion,1,tibio,1
L00193,CHUCK_04,Te comparo este plan frente a otras alternativas del mercado.,comparacion,1,tibio,1
L00194,CHUCK_01,"Si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,tibio,1
L00195,CHUCK_07,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente,2
L00196,CHUCK_07,"Entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,0,frio,0
L00197,CHUCK_07,"Si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,tibio,1
L00198,CHUCK_03,"Hola, un gusto saludarte. En que te asesoro?",saludo,0,frio,0
L00199,CHUCK_02,"En relacion calidad-precio, esta opcion destaca por soporte y resultados.",comparacion,1,tibio,1
L00200,CHUCK_02,Vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio,0
L00201,CHUCK_10,"Perfecto, hablamos pronto. Que tengas excelente dia.",despedida,0,frio,0
L00202,CHUCK_03,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,tibio,1
L00203,CHUCK_07,Te ayudo con soporte tecnico paso a paso.,soporte,0,frio,0
L00204,CHUCK_09,"Excelente decision, te ayudo a completar tu compra ahora.",compra,0,tibio,1
L00205,CHUCK_03,"Claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente,2
L00206,CHUCK_07,"Hola, gracias por contactarnos. Como puedo ayudarte hoy?",saludo,0,frio,0
L00207,CHUCK_10,"Excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente,2
L00208,CHUCK_01,"Claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio,1
L00209,CHUCK_08,"Tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio,1
L00210,CHUCK_03,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente,2
L00211,CHUCK_05,"Claro, te comparto el precio actualizado del plan.",consulta_precio,1,caliente,2
L00212,CHUCK_09,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio,1
L00213,CHUCK_06,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio,1
L00214,CHUCK_07,Podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio,1
L00215,CHUCK_01,"Es normal tener esa inquietud, revisemos alternativas.",objecion,1,frio,0
L00216,CHUCK_01,"Hola, gracias por contactarnos. Como puedo ayudarte hoy?",saludo,0,frio,0
L00217,CHUCK_06,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente,2
L00218,CHUCK_07,Te comparo este plan frente a otras alternativas del mercado.,comparacion,0,tibio,1
L00219,CHUCK_04,"Perfecto, hablamos pronto. Que tengas excelente dia.",despedida,0,frio,0
L00220,CHUCK_01,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00221,CHUCK_10,Te ayudo con soporte tecnico paso a paso.,soporte,0,frio,0
L00222,CHUCK_04,"Excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente,2
L00223,CHUCK_09,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio,1
L00224,CHUCK_04,Te escribo para dar seguimiento a tu interes.,seguimiento,0,frio,0
L00225,CHUCK_01,"Tengo disponibilidad para demo, te paso horarios.",agendar_demo,1,tibio,1
L00226,CHUCK_05,Vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio,0
L00227,CHUCK_10,Podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,tibio,1
L00228,CHUCK_01,Vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio,0
L00229,CHUCK_03,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,frio,0
L00230,CHUCK_07,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,0,tibio,1
L00231,CHUCK_06,Quedo atento para continuar cuando te venga bien.,seguimiento,0,frio,0
L00232,CHUCK_02,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente,2
L00233,CHUCK_01,"Si quieres, te envio una tabla comparativa clara.",comparacion,1,caliente,2
L00234,CHUCK_01,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,caliente,2
L00235,CHUCK_08,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,0,caliente,2
L00236,CHUCK_02,"Gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio,0
L00237,CHUCK_02,Podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio,1
L00238,CHUCK_09,Te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio,1
L00239,CHUCK_02,"Es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio,1
L00240,CHUCK_08,Retomo la conversacion para ayudarte con la decision.,seguimiento,0,frio,0
L00241,CHUCK_05,"Bienvenido, estoy para ayudarte con toda la informacion.",saludo,0,frio,0
L00242,CHUCK_02,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio,1
L00243,CHUCK_01,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,caliente,2
L00244,CHUCK_07,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,tibio,1
L00245,CHUCK_09,"Tengo disponibilidad para demo, te paso horarios.",agendar_demo,0,tibio,1
L00246,CHUCK_08,Te escribo para dar seguimiento a tu interes.,seguimiento,0,frio,0
L00247,CHUCK_03,Te comparo este plan frente a otras alternativas del mercado.,comparacion,0,tibio,1
L00248,CHUCK_06,"Si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,tibio,1
L00249,CHUCK_02,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio,1
L00250,CHUCK_10,Te escribo para dar seguimiento a tu interes.,seguimiento,0,tibio,1
L00251,CHUCK_05,"Excelente decision, te ayudo a completar tu compra ahora.",compra,0,caliente,2
L00252,CHUCK_02,Vamos a revisar ese inconveniente para resolverlo rapido.,soporte,0,frio,0
L00253,CHUCK_05,Podemos resolver esa objecion con una opcion mas flexible.,objecion,0,tibio,1
L00254,CHUCK_01,"Gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio,0
L00255,CHUCK_09,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,frio,0
L00256,CHUCK_05,Te comparto los beneficios para tu caso de uso.,consulta_producto,0,tibio,1
L00257,CHUCK_07,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,1,caliente,2
L00258,CHUCK_03,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio,1
L00259,CHUCK_02,Quedo atento para continuar cuando te venga bien.,seguimiento,0,frio,0
L00260,CHUCK_10,Puedo guiarte para solucionar el problema ahora mismo.,soporte,0,frio,0
L00261,CHUCK_03,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente,2
L00262,CHUCK_06,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio,1
L00263,CHUCK_07,"Si, te puedo detallar precios y promociones vigentes.",consulta_precio,1,tibio,1
L00264,CHUCK_03,Fue un gusto ayudarte. Estoy disponible cuando lo necesites.,despedida,0,frio,0
L00265,CHUCK_04,"Claro, te comparto el precio actualizado del plan.",consulta_precio,1,tibio,1
L00266,CHUCK_07,"Si quieres, te envio una tabla comparativa clara.",comparacion,0,caliente,2
L00267,CHUCK_04,"Es normal tener esa inquietud, revisemos alternativas.",objecion,1,frio,0
L00268,CHUCK_02,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente,2
L00269,CHUCK_02,"Tengo disponibilidad para demo, te paso horarios.",agendar_demo,1,caliente,2
L00270,CHUCK_03,Este producto incluye soporte y configuracion inicial.,consulta_producto,0,tibio,1
L00271,CHUCK_09,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,caliente,2
L00272,CHUCK_05,Te escribo para dar seguimiento a tu interes.,seguimiento,1,tibio,1
L00273,CHUCK_02,Puedo guiarte para solucionar el problema ahora mismo.,soporte,0,frio,0
L00274,CHUCK_05,"Hola, un gusto saludarte. En que te asesoro?",saludo,1,frio,0
L00275,CHUCK_10,Te escribo para dar seguimiento a tu interes.,seguimiento,1,tibio,1
L00276,CHUCK_04,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente,2
L00277,CHUCK_06,"Hola, gracias por contactarnos. Como puedo ayudarte hoy?",saludo,1,frio,0
L00278,CHUCK_02,"Si te parece, coordinamos una demostracion personalizada.",agendar_demo,0,tibio,1
L00279,CHUCK_02,"Gracias por tu tiempo, quedo atento a cualquier consulta.",despedida,0,frio,0
L00280,CHUCK_02,Podemos agendar una demo de 20 minutos esta semana.,agendar_demo,0,tibio,1
L00281,CHUCK_04,"Tenemos stock disponible, puedo procesar tu compra en este momento.",compra,0,caliente,2
L00282,CHUCK_04,Retomo la conversacion para ayudarte con la decision.,seguimiento,0,tibio,1
L00283,CHUCK_06,"Es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio,1
L00284,CHUCK_04,"El costo depende del paquete, te paso las opciones de precio.",consulta_precio,1,caliente,2
L00285,CHUCK_02,"Perfecto, te comparto el link de pago para cerrar la compra.",compra,1,caliente,2
L00286,CHUCK_10,"Entiendo tu duda, te aclaro ese punto para que decidas con confianza.",objecion,0,tibio,1
L00287,CHUCK_05,"Es normal tener esa inquietud, revisemos alternativas.",objecion,0,tibio,1
